,Name,Gender,Economic Status,Height,Weight,Age,Income
48,Elavud,Female,Middle Class,182.0,81.0,32.0,18802.0
49,Eüaz,Female,Poor,177.0,80.0,32.0,20912.0
50,Hus,Female,Poor,179.0,70.0,41.0,18826.0
51,Atüz,Female,Rich,176.0,70.0,32.0,21212.0
52,Iqefaim,Female,Middle Class,177.0,78.0,40.0,19094.0
53,Uvig,Male,Rich,185.0,75.0,41.0,19657.0
54,Amov,Male,Middle Class,164.0,69.0,35.0,19037.0
55,Ivüaq,Male,Middle Class,169.0,69.0,35.0,20679.0
56,Oqov,Female,Middle Class,175.0,73.0,40.0,18911.0
57,Oxivecaq,Male,Middle Class,169.0,76.0,36.0,18890.0
58,Esdüp,Female,Middle Class,170.0,71.0,33.0,21011.0
59,Oayr,Female,Middle Class,188.0,76.0,32.0,19488.0
60,Uin,Female,Poor,177.0,76.0,35.0,21266.0
61,Ituño,Male,Middle Class,179.0,84.0,32.0,19078.0
62,Omoqa,Male,Poor,169.0,80.0,39.0,21097.0
63,Ofaz,Male,Middle Class,173.0,84.0,37.0,19760.0
64,Düyqar,Female,Middle Class,190.0,74.0,38.0,20497.0
65,Iyho,Male,Rich,187.0,72.0,41.0,19188.0
66,Iwew,Female,Rich,170.0,72.0,34.0,18759.0
67,Ihov,Female,Rich,190.0,80.0,33.0,18271.0
68,Zepul,Male,Middle Class,181.0,78.0,38.0,21413.0
69,Anoojor,Male,Middle Class,164.0,90.0,42.0,18409.0
70,Umub,Male,Rich,189.0,85.0,40.0,19129.0
71,Ajañ,Male,Poor,165.0,77.0,33.0,18864.0
72,Ejupy,Female,Rich,172.0,82.0,38.0,19132.0
73,Ücajaf,Male,Middle Class,184.0,72.0,33.0,19598.0
74,Axuj,Female,Poor,168.0,77.0,36.0,21093.0
75,Otopüñ,Female,Middle Class,184.0,76.0,41.0,21452.0
76,Ütwyh,Female,Rich,182.0,66.0,36.0,21287.0
77,Zuvüjup,Male,Rich,178.0,75.0,39.0,18933.0
78,Igceb,Male,Poor,184.0,76.0,34.0,19040.0
79,Ioij,Male,Middle Class,165.0,69.0,32.0,19909.0
80,Üih,Female,Middle Class,162.0,79.0,42.0,19293.0
81,Iyt,Male,Middle Class,163.0,74.0,31.0,18413.0
82,Etu,Female,Middle Class,167.0,75.0,38.0,18731.0
83,Vüv,Female,Middle Class,184.0,72.0,40.0,19267.0
84,Esülod,Female,Rich,170.0,72.0,41.0,18786.0
85,Opuq,Male,Rich,184.0,77.0,41.0,19886.0
86,Uñxit,Male,Poor,163.0,67.0,33.0,18883.0
87,Ovulüqu,Female,Poor,180.0,70.0,40.0,20554.0
88,Alüt,Female,Poor,166.0,68.0,39.0,18443.0
89,Apin,Female,Poor,177.0,70.0,40.0,18561.0
90,Ulizeler,Male,Rich,190.0,87.0,34.0,18326.0
91,Apunuz,Male,Middle Class,178.0,66.0,32.0,18255.0
92,Oñc,Female,Rich,189.0,87.0,37.0,19349.0
93,Ereg,Female,Poor,164.0,81.0,42.0,20264.0
94,Isex,Male,Rich,190.0,89.0,31.0,21426.0
95,Uñuxü,Male,Rich,174.0,80.0,40.0,19792.0
96,Uyilügej,Female,Poor,188.0,90.0,42.0,20674.0
97,Ipgas,Female,Middle Class,176.0,86.0,34.0,19339.0
98,Uwegicese,Female,Middle Class,180.0,82.0,31.0,18173.0
99,Ecujij,Female,Poor,172.0,67.0,37.0,19994.0
100,Oxux,Male,Middle Class,163.0,73.0,34.0,20400.0
101,Udoñic,Male,Poor,172.0,78.0,42.0,20885.0
102,Aliv,Female,Poor,184.0,72.0,41.0,18565.0
103,Imel,Male,Rich,185.0,87.0,32.0,21351.0
104,Ünedobizog,Female,Rich,184.0,67.0,32.0,20145.0
105,Epojpiz,Male,Rich,161.0,80.0,42.0,20692.0
106,Eemoyüluh,Female,Middle Class,164.0,85.0,40.0,19714.0
107,Ugüw,Female,Middle Class,167.0,71.0,40.0,19733.0
108,Eyilüesar,Male,Middle Class,181.0,66.0,41.0,20637.0
109,Utuhojul,Female,Rich,177.0,73.0,37.0,20315.0
110,Üwutaet,Male,Middle Class,173.0,86.0,41.0,18741.0
111,Awnevc,Male,Middle Class,176.0,86.0,36.0,21305.0
112,Opawüpan,Female,Rich,186.0,90.0,35.0,21351.0
113,Abzen,Female,Rich,184.0,66.0,33.0,21272.0
114,Abas,Female,Rich,169.0,84.0,39.0,19612.0
115,Emiñ,Male,Middle Class,186.0,74.0,41.0,20912.0
116,Qiq,Male,Poor,177.0,72.0,32.0,20190.0
117,Ujif,Female,Rich,175.0,88.0,37.0,19715.0
118,Üpid,Male,Rich,170.0,78.0,40.0,19792.0
119,Üfü,Male,Rich,179.0,89.0,39.0,19194.0
120,Ovun,Female,Poor,186.0,76.0,31.0,19815.0
121,Icefot,Female,Rich,188.0,70.0,39.0,18439.0
122,Fiupuyuy,Female,Rich,169.0,70.0,32.0,21027.0
123,Etüdu,Male,Middle Class,176.0,66.0,37.0,18288.0
124,Oyeñodi,Male,Middle Class,189.0,74.0,41.0,18366.0
125,Avudaq,Male,Middle Class,169.0,77.0,36.0,21299.0
126,Üugiül,Male,Poor,188.0,85.0,40.0,19863.0
127,Iücix,Female,Rich,162.0,88.0,42.0,19052.0
128,Off,Male,Rich,165.0,77.0,32.0,19193.0
129,Enüzaqizüj,Male,Rich,166.0,83.0,37.0,20241.0
130,Oboqaj,Male,Poor,169.0,69.0,34.0,19372.0
131,Ucüqaiw,Male,Poor,175.0,69.0,37.0,19373.0
132,Tüm,Female,Rich,180.0,72.0,41.0,18725.0
133,Ogüloz,Female,Middle Class,180.0,70.0,38.0,18849.0
134,Owsañ,Female,Rich,174.0,78.0,32.0,20689.0
135,Edafdum,Female,Poor,177.0,78.0,39.0,20726.0
136,Ügogul,Male,Middle Class,163.0,74.0,39.0,20619.0
137,Awüsüced,Male,Poor,180.0,79.0,38.0,19227.0
138,Üzuliw,Female,Rich,162.0,77.0,31.0,20873.0
139,Urr,Male,Rich,166.0,80.0,32.0,18933.0
140,Üomw,Male,Rich,182.0,82.0,34.0,20192.0
141,Igüñ,Male,Rich,161.0,82.0,40.0,20526.0
142,Olapef,Male,Middle Class,163.0,81.0,41.0,18601.0
143,Üqefmoy,Female,Middle Class,167.0,72.0,32.0,20184.0
144,Axas,Male,Poor,171.0,78.0,39.0,20146.0
145,Opubuhob,Female,Rich,190.0,71.0,39.0,19537.0
146,Itüguey,Male,Middle Class,164.0,81.0,31.0,18616.0
147,Edümegup,Male,Rich,182.0,83.0,31.0,18512.0
148,Zejgic,Male,Rich,173.0,67.0,42.0,18976.0
149,Oeg,Male,Poor,165.0,82.0,39.0,19128.0
150,Ifaq,Female,Middle Class,182.0,88.0,32.0,18138.0
151,Asuqet,Male,Middle Class,178.0,86.0,32.0,20836.0
152,Oqow,Female,Rich,168.0,76.0,34.0,18653.0
153,Xoma,Female,Poor,180.0,78.0,33.0,19712.0
154,Üaqon,Female,Rich,174.0,81.0,38.0,20143.0
155,Oyüs,Male,Middle Class,180.0,68.0,42.0,19581.0
156,Üyavabyw,Female,Poor,180.0,70.0,32.0,19016.0
157,Abiñ,Male,Poor,186.0,76.0,38.0,18260.0
158,Esü,Male,Middle Class,162.0,66.0,40.0,18232.0
159,Orjuc,Female,Poor,180.0,85.0,41.0,20945.0
160,Inic,Male,Poor,187.0,84.0,36.0,20536.0
161,Arüm,Male,Middle Class,164.0,74.0,37.0,20262.0
162,Yuvom,Male,Rich,175.0,75.0,33.0,19778.0
163,Otsüf,Male,Rich,186.0,66.0,40.0,18271.0
164,Uyruñu,Male,Poor,166.0,90.0,36.0,19693.0
165,Uzanihux,Male,Poor,169.0,77.0,31.0,21458.0
166,Ety,Female,Poor,168.0,66.0,31.0,20842.0
167,Eayot,Male,Rich,189.0,70.0,36.0,19547.0
168,Ipov,Male,Middle Class,170.0,86.0,36.0,19084.0
169,Uqecez,Female,Poor,166.0,75.0,42.0,20441.0
170,Ohum,Male,Middle Class,186.0,75.0,35.0,20958.0
171,Oid,Male,Rich,161.0,82.0,37.0,19455.0
172,Lujlil,Female,Poor,166.0,67.0,35.0,19448.0
173,Ülecülujon,Male,Rich,171.0,82.0,39.0,19430.0
174,Oseca,Male,Middle Class,177.0,86.0,41.0,18597.0
175,Xüwült,Male,Middle Class,181.0,78.0,36.0,18260.0
176,Isas,Female,Rich,171.0,69.0,39.0,19989.0
177,Iderejüp,Male,Rich,163.0,67.0,38.0,19826.0
178,Übalih,Female,Middle Class,181.0,88.0,31.0,19979.0
179,Uyexux,Female,Rich,183.0,88.0,37.0,19706.0
180,Eqoaxov,Female,Poor,167.0,76.0,41.0,21279.0
181,Ayeroy,Female,Rich,162.0,86.0,42.0,20614.0
182,Eras,Female,Poor,180.0,72.0,33.0,21308.0
183,Omoduñaw,Female,Middle Class,185.0,79.0,40.0,18542.0
184,Üybeñ,Male,Rich,177.0,69.0,34.0,20240.0
185,Jex,Female,Rich,185.0,76.0,35.0,20405.0
186,Ueyobüy,Female,Poor,167.0,73.0,41.0,18370.0
187,Ijl,Male,Rich,186.0,78.0,42.0,21402.0
188,Uze,Female,Poor,171.0,69.0,37.0,18512.0
189,Bfol,Male,Middle Class,180.0,79.0,33.0,21323.0
190,Alab,Female,Middle Class,165.0,81.0,34.0,18175.0
191,Unubx,Female,Middle Class,188.0,90.0,35.0,19115.0
192,Tülixen,Male,Middle Class,177.0,78.0,39.0,19686.0
193,Uvihemu,Female,Middle Class,170.0,67.0,42.0,20266.0
194,Yoyut,Female,Poor,185.0,73.0,32.0,20918.0
195,Ibic,Female,Middle Class,181.0,81.0,31.0,21170.0
196,Eiuejul,Male,Poor,164.0,71.0,41.0,21257.0
197,Onaelexü,Male,Poor,177.0,90.0,31.0,19250.0
198,Sujaiw,Female,Rich,184.0,76.0,37.0,18392.0
199,Üvajam,Male,Middle Class,165.0,76.0,36.0,20197.0
200,Ünüqoz,Female,Poor,189.0,77.0,41.0,20694.0
201,Ejoñ,Male,Middle Class,168.0,87.0,35.0,18761.0
202,Ilofegf,Female,Poor,174.0,85.0,35.0,21035.0
203,Ebx,Male,Middle Class,183.0,82.0,31.0,18234.0
204,Osidelñ,Male,Poor,178.0,69.0,42.0,21001.0
205,Ügutu,Female,Rich,168.0,76.0,42.0,18008.0
206,Afag,Male,Rich,186.0,70.0,31.0,18507.0
207,Ñopür,Male,Poor,163.0,88.0,41.0,19684.0
208,Agüdxup,Female,Poor,171.0,68.0,40.0,18614.0
209,Ovuramuh,Male,Poor,174.0,83.0,41.0,18203.0
210,Apaxeg,Female,Middle Class,165.0,85.0,34.0,19895.0
211,Osülin,Male,Poor,187.0,90.0,31.0,20959.0
212,Icatpoz,Male,Middle Class,189.0,67.0,36.0,21179.0
213,Üüqamec,Male,Rich,186.0,82.0,42.0,19599.0
214,Hovilüt,Male,Rich,190.0,72.0,37.0,21441.0
215,Ohuvab,Male,Poor,172.0,72.0,39.0,20007.0
216,Cudañuj,Male,Middle Class,169.0,80.0,41.0,20398.0
217,Obov,Female,Poor,181.0,81.0,37.0,19845.0
218,Ipsasoñ,Male,Middle Class,165.0,72.0,38.0,20237.0
219,Ulap,Female,Rich,178.0,86.0,33.0,19010.0
220,Apedes,Female,Poor,172.0,72.0,36.0,21170.0
221,Mibuj,Female,Poor,166.0,74.0,40.0,19567.0
222,Uro,Male,Middle Class,176.0,72.0,34.0,18863.0
223,Irej,Female,Poor,183.0,77.0,35.0,20922.0
224,Aol,Female,Rich,182.0,81.0,37.0,19903.0
225,Aquhif,Female,Poor,172.0,90.0,38.0,19187.0
226,Üñsloj,Female,Poor,186.0,69.0,40.0,20662.0
227,Isacül,Female,Rich,176.0,74.0,38.0,20266.0
228,Osicew,Female,Middle Class,167.0,85.0,33.0,19351.0
229,Üaü,Male,Middle Class,177.0,67.0,37.0,18705.0
230,Ugu,Female,Middle Class,178.0,74.0,41.0,18968.0
231,Xifüs,Male,Middle Class,175.0,88.0,40.0,20028.0
232,Oqabot,Female,Rich,184.0,84.0,38.0,20419.0
233,Eib,Female,Poor,174.0,74.0,38.0,21153.0
234,Gudut,Male,Rich,182.0,71.0,40.0,20995.0
235,Uyifol,Male,Rich,169.0,79.0,34.0,18013.0
236,Oñianeq,Female,Middle Class,184.0,84.0,36.0,18135.0
237,Agum,Male,Rich,168.0,76.0,31.0,21439.0
238,Oav,Male,Rich,180.0,68.0,32.0,20063.0
239,Ucas,Female,Middle Class,180.0,71.0,39.0,18070.0
240,Ediuwu,Female,Middle Class,177.0,71.0,31.0,19287.0
241,Alliq,Female,Rich,189.0,82.0,35.0,18323.0
242,Irdaüm,Male,Poor,179.0,77.0,32.0,18744.0
243,Zülum,Female,Poor,178.0,75.0,31.0,18613.0
244,Iqirh,Male,Rich,168.0,81.0,34.0,20117.0
245,Soy,Female,Middle Class,185.0,90.0,39.0,19628.0
246,Ücügafom,Female,Poor,175.0,86.0,42.0,19704.0
247,Oüxaj,Male,Poor,172.0,71.0,33.0,18843.0
248,Ofuv,Female,Middle Class,182.0,75.0,41.0,20640.0
249,Uroweyeten,Male,Middle Class,182.0,73.0,40.0,21070.0
250,Ezi,Male,Poor,179.0,88.0,39.0,20241.0
251,Ugüpale,Female,Middle Class,169.0,90.0,32.0,20091.0
252,Uyo,Male,Rich,190.0,85.0,41.0,19048.0
253,Amomosü,Male,Poor,175.0,80.0,39.0,19860.0
254,Axie,Female,Middle Class,179.0,89.0,34.0,19464.0
255,Oyusiley,Male,Middle Class,161.0,70.0,31.0,18945.0
256,Eroyohiw,Male,Rich,180.0,72.0,37.0,21472.0
257,Ileñes,Female,Poor,182.0,89.0,32.0,21109.0
258,Türwe,Female,Poor,163.0,83.0,37.0,19468.0
259,Oxucag,Male,Poor,162.0,87.0,36.0,20209.0
260,Müm,Male,Rich,168.0,67.0,32.0,18841.0
261,Qeq,Male,Poor,179.0,67.0,40.0,19742.0
262,Ipbecuñüy,Male,Rich,185.0,76.0,37.0,19782.0
263,Iyiz,Male,Rich,178.0,78.0,34.0,18083.0
264,Eson,Male,Middle Class,161.0,76.0,36.0,20315.0
265,Edgolod,Male,Rich,184.0,66.0,36.0,20030.0
266,Uxoxiboj,Male,Poor,178.0,81.0,42.0,19647.0
267,Ülg,Male,Rich,189.0,83.0,42.0,19665.0
268,Erecohur,Female,Poor,168.0,72.0,37.0,18366.0
269,Ofuih,Male,Middle Class,180.0,85.0,31.0,19436.0
270,Put,Female,Poor,183.0,90.0,41.0,20734.0
271,Abipj,Female,Poor,177.0,79.0,41.0,20237.0
272,Ilojiñ,Male,Poor,178.0,70.0,35.0,18267.0
273,Üimolum,Female,Rich,164.0,69.0,35.0,21120.0
274,Ügujeorf,Female,Middle Class,173.0,86.0,39.0,20499.0
275,Isogavod,Male,Rich,165.0,71.0,35.0,18131.0
276,Awif,Female,Middle Class,176.0,68.0,38.0,21471.0
277,Eujex,Female,Rich,184.0,81.0,41.0,18715.0
278,Hwx,Female,Middle Class,180.0,70.0,33.0,19655.0
279,Awudüp,Male,Poor,190.0,73.0,31.0,19220.0
280,Iweg,Male,Poor,171.0,72.0,35.0,18034.0
281,Üafu,Male,Middle Class,168.0,67.0,37.0,19229.0
282,Jiq,Male,Middle Class,178.0,83.0,37.0,20299.0
283,Fiz,Male,Middle Class,163.0,67.0,36.0,18009.0
284,Iyuq,Male,Middle Class,182.0,74.0,31.0,19241.0
285,Afuxub,Male,Poor,161.0,71.0,36.0,19887.0
286,Uquñob,Female,Poor,188.0,83.0,39.0,20339.0
287,Emadubot,Male,Poor,168.0,77.0,35.0,19678.0
288,Eñüc,Male,Rich,181.0,80.0,39.0,21481.0
289,Itehop,Female,Rich,169.0,72.0,32.0,19064.0
290,Ocwup,Male,Poor,170.0,89.0,42.0,20908.0
291,Veh,Female,Poor,163.0,72.0,31.0,20389.0
292,Teñ,Female,Rich,185.0,67.0,40.0,21209.0
293,Awüqex,Male,Poor,186.0,81.0,34.0,21103.0
294,Anozavüñ,Male,Poor,179.0,83.0,35.0,20135.0
295,Apünicüd,Male,Rich,173.0,74.0,42.0,20183.0
296,Usox,Male,Rich,174.0,89.0,37.0,20479.0
297,Zmecür,Male,Poor,183.0,74.0,37.0,19151.0
298,Imuiqazil,Female,Middle Class,187.0,67.0,37.0,21019.0
299,Itejüeh,Male,Middle Class,189.0,83.0,41.0,18316.0
300,Yezüval,Female,Rich,162.0,77.0,36.0,19472.0
301,Qib,Male,Poor,181.0,81.0,32.0,20178.0
302,Oxedaqrat,Male,Middle Class,179.0,87.0,37.0,21109.0
303,Üqap,Male,Poor,190.0,78.0,39.0,20164.0
304,Urawüy,Male,Poor,190.0,79.0,36.0,20679.0
305,Axüg,Male,Rich,172.0,73.0,31.0,19904.0
306,Ufosolivan,Male,Middle Class,168.0,77.0,33.0,18884.0
307,Cesovob,Male,Rich,186.0,75.0,32.0,20955.0
308,Atn,Female,Middle Class,179.0,77.0,38.0,19231.0
309,Uvorilal,Male,Middle Class,167.0,90.0,42.0,18640.0
310,Aribib,Male,Rich,166.0,72.0,32.0,18522.0
311,Ulty,Female,Rich,178.0,82.0,37.0,19984.0
312,Vag,Male,Middle Class,182.0,85.0,33.0,19126.0
313,Uyülüd,Male,Poor,175.0,66.0,39.0,19256.0
314,Ülfoñañ,Male,Poor,179.0,83.0,33.0,19587.0
315,Ililoc,Female,Rich,161.0,81.0,31.0,18414.0
316,Loñoj,Male,Middle Class,183.0,87.0,38.0,19524.0
317,Dujül,Male,Rich,185.0,74.0,40.0,20621.0
318,Erüjüwuh,Male,Middle Class,186.0,77.0,39.0,21084.0
319,Avüwj,Male,Rich,187.0,67.0,31.0,21384.0
320,Usül,Female,Rich,175.0,79.0,32.0,20866.0
321,Dopowüg,Female,Poor,189.0,72.0,36.0,21019.0
322,Iwoh,Female,Middle Class,168.0,67.0,40.0,21228.0
323,Ugudf,Female,Poor,184.0,76.0,32.0,21215.0
324,Püvogaq,Male,Rich,167.0,77.0,34.0,20865.0
325,Ühüsecavus,Male,Rich,187.0,82.0,40.0,20924.0
326,Añap,Female,Poor,184.0,89.0,38.0,18521.0
327,Ogagemiñ,Female,Rich,170.0,79.0,32.0,20536.0
328,Tüinoyür,Male,Poor,174.0,74.0,41.0,19832.0
329,Üqabiltur,Male,Rich,184.0,75.0,32.0,18468.0
330,Awüxom,Male,Rich,175.0,87.0,36.0,19565.0
331,Afi,Female,Rich,171.0,90.0,33.0,18073.0
332,Ower,Female,Middle Class,166.0,66.0,37.0,20636.0
333,Oig,Female,Poor,168.0,81.0,35.0,19745.0
334,Ewojaw,Male,Middle Class,185.0,71.0,34.0,19798.0
335,Uxwebüdu,Female,Poor,164.0,77.0,39.0,21429.0
336,Ilutu,Female,Rich,165.0,73.0,33.0,19901.0
337,Ümugat,Female,Middle Class,169.0,73.0,37.0,19494.0
338,Anepüz,Female,Poor,166.0,76.0,34.0,18616.0
339,Ecaw,Female,Poor,161.0,79.0,41.0,20645.0
340,Ivñelun,Male,Poor,175.0,71.0,35.0,20356.0
341,Epanam,Male,Poor,162.0,88.0,39.0,19782.0
342,Ozum,Female,Poor,177.0,87.0,33.0,18912.0
343,Iyciñif,Female,Rich,161.0,87.0,31.0,19865.0
344,Emev,Female,Poor,179.0,73.0,36.0,19019.0
345,Izam,Female,Rich,163.0,79.0,39.0,18035.0
346,Odidob,Female,Rich,185.0,66.0,36.0,19494.0
347,Elixtil,Female,Rich,165.0,77.0,39.0,18431.0
348,Ofupen,Female,Rich,167.0,85.0,39.0,18039.0
349,Usapetac,Female,Poor,170.0,80.0,41.0,18966.0
350,Uhcun,Female,Middle Class,188.0,77.0,36.0,18139.0
351,Muloy,Female,Middle Class,190.0,84.0,34.0,20575.0
352,Ucül,Male,Poor,186.0,72.0,32.0,19276.0
353,Jol,Female,Poor,172.0,67.0,32.0,20434.0
354,Oqacotar,Male,Rich,174.0,73.0,32.0,20700.0
355,Uqijey,Female,Rich,171.0,88.0,37.0,18051.0
356,Osofobus,Male,Rich,182.0,84.0,39.0,19732.0
357,Ewim,Female,Middle Class,164.0,78.0,33.0,18169.0
358,Ixoqüvoy,Female,Rich,169.0,73.0,34.0,20501.0
359,Voinob,Female,Middle Class,167.0,76.0,39.0,18608.0
360,Opom,Male,Rich,169.0,76.0,33.0,20613.0
361,Alozl,Male,Rich,188.0,73.0,41.0,19306.0
362,Ereq,Male,Rich,184.0,80.0,42.0,19926.0
363,Odacues,Female,Rich,167.0,85.0,31.0,18059.0
364,Emetaw,Female,Rich,189.0,71.0,37.0,18157.0
365,Uxüij,Male,Rich,175.0,68.0,41.0,19377.0
366,Iñey,Male,Rich,176.0,86.0,37.0,19406.0
367,Lüpüh,Male,Poor,172.0,77.0,33.0,20424.0
368,Ülolel,Male,Middle Class,164.0,77.0,32.0,19188.0
369,Üciwüm,Female,Middle Class,171.0,78.0,40.0,19332.0
370,Uum,Male,Poor,183.0,69.0,32.0,18630.0
371,Eulxaq,Male,Poor,164.0,85.0,42.0,18290.0
372,Uhüyayah,Female,Poor,174.0,68.0,38.0,20056.0
373,Afazuy,Female,Middle Class,179.0,76.0,31.0,21358.0
374,Ibotamüzat,Male,Poor,182.0,82.0,35.0,20699.0
375,Dowülüñez,Female,Middle Class,183.0,87.0,39.0,20178.0
376,Upig,Female,Middle Class,188.0,72.0,32.0,20668.0
377,Ufunidoq,Male,Rich,178.0,66.0,41.0,20597.0
378,Eriy,Male,Middle Class,163.0,67.0,32.0,18127.0
379,Ijun,Male,Rich,177.0,66.0,31.0,20948.0
380,Emünimoih,Male,Rich,178.0,73.0,36.0,18360.0
381,Ufomazel,Male,Rich,183.0,83.0,39.0,18819.0
382,Iñüvülw,Female,Rich,175.0,90.0,31.0,19986.0
383,Üzaüdüt,Male,Poor,164.0,68.0,41.0,20860.0
384,Pad,Female,Rich,173.0,72.0,36.0,20711.0
385,Asucbux,Female,Poor,161.0,71.0,37.0,18640.0
386,Obeh,Female,Middle Class,167.0,78.0,34.0,21333.0
387,Ilaf,Female,Middle Class,168.0,80.0,39.0,19770.0
388,Ujurad,Female,Middle Class,189.0,86.0,41.0,18132.0
389,Ebelogit,Female,Middle Class,180.0,76.0,39.0,18667.0
390,Aqlagor,Female,Rich,184.0,73.0,40.0,20773.0
391,Ümüv,Male,Poor,163.0,68.0,36.0,19502.0
392,Amdewar,Male,Rich,190.0,77.0,33.0,18835.0
393,Uteyiñ,Male,Rich,166.0,74.0,40.0,21049.0
394,Aiqiy,Female,Rich,186.0,75.0,39.0,18794.0
395,Ewuñ,Female,Middle Class,180.0,66.0,35.0,20599.0
396,Üuzace,Male,Rich,166.0,85.0,33.0,19601.0
397,Azebioz,Female,Middle Class,168.0,86.0,31.0,20120.0
398,Üsejej,Male,Poor,189.0,81.0,41.0,18261.0
399,Ewi,Male,Middle Class,181.0,74.0,34.0,20861.0
400,Apüwded,Female,Rich,168.0,88.0,32.0,18453.0
401,Eyüm,Male,Middle Class,190.0,78.0,36.0,19894.0
402,Yümoox,Female,Middle Class,174.0,90.0,39.0,20931.0
403,Aloñ,Male,Rich,162.0,76.0,31.0,20929.0
404,Ayüy,Female,Poor,171.0,72.0,32.0,18317.0
405,Uyz,Male,Middle Class,164.0,66.0,34.0,19785.0
406,Ecürip,Male,Middle Class,170.0,83.0,37.0,20668.0
407,Olen,Male,Rich,187.0,76.0,34.0,18732.0
408,Utotez,Male,Middle Class,167.0,89.0,33.0,18989.0
409,Eruqifa,Female,Middle Class,163.0,67.0,32.0,18833.0
410,Qejtow,Female,Poor,167.0,90.0,39.0,20730.0
411,Atilü,Male,Rich,169.0,74.0,41.0,18293.0
412,Esivecew,Female,Middle Class,186.0,84.0,31.0,21153.0
413,Ajehewü,Female,Middle Class,172.0,87.0,37.0,20817.0
414,Asob,Male,Poor,161.0,71.0,39.0,20021.0
415,Agufizux,Female,Rich,190.0,81.0,39.0,20409.0
416,Ahy,Male,Rich,180.0,70.0,33.0,19803.0
417,Aboc,Female,Rich,166.0,85.0,33.0,19018.0
418,Iyürap,Male,Rich,179.0,76.0,42.0,18963.0
419,Ruw,Male,Middle Class,179.0,84.0,40.0,19929.0
420,Ulc,Female,Poor,163.0,84.0,35.0,18363.0
421,Osüf,Male,Middle Class,169.0,87.0,41.0,19566.0
422,Ofebib,Male,Rich,187.0,90.0,36.0,20040.0
423,Etehop,Male,Rich,180.0,78.0,41.0,20439.0
424,Egoñid,Female,Poor,164.0,69.0,35.0,20545.0
425,Teh,Female,Middle Class,169.0,84.0,37.0,18851.0
426,Udelf,Male,Poor,176.0,75.0,37.0,20860.0
427,Ojoalfot,Male,Middle Class,161.0,82.0,35.0,20179.0
